motorType	outputSpeedRpm	ratio	outputTorqueNm	serviceFactor	overhungLoad	unitDesignation	baseUnitWeightKg	motorSize
7,5kW 	405	3,58	173	1,17	4803	R04223.6_M_-__7.5A--	99	132M
7,5kW 	405	3,58	173	1,37	5010	R04225.0_M_-__7.5A--	99	132M
7,5kW 	405	3,58	173	1,44	5099	R04225.6_M_-__7.5A--	99	132M
7,5kW 	405	3,58	173	1,51	5233	R04226.3_M_-__7.5A--	99	132M
7,5kW 	405	3,58	173	1,68	4037	R05223.6_M_-__7.5A--	99	132M
7,5kW 	288	5,04	244	1,57	4223	R05225.0_M_-__7.5A--	99	132M
7,5kW 	257	5,65	274	1,5	4317	R05225.6_M_-__7.5A--	99	132M
7,5kW 	229	6,34	307	1,35	4391	R05226.3_M_-__7.5A--	99	132M
7,5kW 	327	4,44	215	1,68	7200	R06225.0_M_-__7.5A--	104	132M
7,5kW 	232	6,24	302	1,57	7200	R06225.6_M_-__7.5A--	104	132M
7,5kW 	207	6,99	338	1,51	7200	R06226.3_M_-__7.5A--	104	132M
7,5kW 	185	7,85	380	1,35	7200	R06228.0_M_-__7.5A--	104	132M
7,5kW 	145	9,97	483	1,23	7200	R06229.0_M_-__7.5A--	104	132M
7,5kW 	128	11,3	547	1,1	7200	R062211._M_-__7.5A--	104	132M
7,5kW 	394	3,68	178	1,74	8418	R07223.6_M_-__7.5A--	113	132M
7,5kW 	285	5,09	246	1,74	7599	R07225.0_M_-__7.5A--	113	132M
7,5kW 	253	5,72	277	1,74	7415	R07225.6_M_-__7.5A--	113	132M
7,5kW 	231	6,29	304	1,74	6260	R07226.3_M_-__7.5A--	113	132M
7,5kW 	176	8,22	398	1,65	5303	R07228.0_M_-__7.5A--	113	132M
7,5kW 	155	9,34	452	1,52	5478	R07229.0_M_-__7.5A--	113	132M
7,5kW 	128	11,35	549	1,32	5723	R072211._M_-__7.5A--	113	132M
7,5kW 	116	12,48	604	1,23	5852	R072212._M_-__7.5A--	113	132M
7,5kW 	101	14,34	694	1,1	6031	R072214._M_-__7.5A--	113	132M
7,5kW 	89	16,26	787	1,01	6337	R072216._M_-__7.5A--	113	132M
7,5kW 	81	17,94	868	0,92	6659	R072218._M_-__7.5A--	113	132M
7,5kW 	71	20,54	994	0,82	7142	R072220._M_-__7.5A--	113	132M
7,5kW 	394	3,68	178	2,72	14178	R08223.6_M_-__7.5A--	146	132M
7,5kW 	278	5,21	252	2,72	13997	R08225.0_M_-__7.5A--	146	132M
7,5kW 	250	5,79	280	2,72	12728	R08225.6_M_-__7.5A--	146	132M
7,5kW 	225	6,44	312	2,72	11612	R08226.3_M_-__7.5A--	146	132M
7,5kW 	174	8,33	403	2,72	8886	R08228.0_M_-__7.5A--	146	132M
7,5kW 	155	9,35	453	2,71	7276	R08229.0_M_-__7.5A--	146	132M
7,5kW 	126	11,47	555	2,38	7261	R082211._M_-__7.5A--	146	132M
7,5kW 	112	12,92	625	2,17	7514	R082212._M_-__7.5A--	146	132M
7,5kW 	96	15,04	728	1,95	7426	R082214._M_-__7.5A--	146	132M
7,5kW 	87	16,69	808	1,78	7725	R082216._M_-__7.5A--	146	132M
7,5kW 	79	18,26	884	1,55	8395	R082218._M_-__7.5A--	146	132M
7,5kW 	70	20,66	1000	1,47	8868	R082220._M_-__7.5A--	146	132M
7,5kW 	62	23,32	1129	1,37	9317	R082222._M_-__7.5A--	146	132M
7,5kW 	51	28,27	1369	1,18	10034	R082228._M_-__7.5A--	146	132M
7,5kW 	44	32,97	1596	1,03	10100	R082232._M_-__7.5A--	146	132M
7,5kW 	40	36,21	1753	0,95	10441	R082236._M_-__7.5A--	146	132M
7,5kW 	89	16,34	791	3,1	12343	R092216._M_-__7.5A--	194	132M
7,5kW 	78	18,5	896	2,81	12438	R092218._M_-__7.5A--	194	132M
7,5kW 	70	20,59	997	2,61	12335	R092220._M_-__7.5A--	194	132M
7,5kW 	63	22,87	1107	2,43	12459	R092222._M_-__7.5A--	194	132M
7,5kW 	52	27,98	1354	2,12	13250	R092228._M_-__7.5A--	194	132M
7,5kW 	45	32,31	1564	1,88	14470	R092232._M_-__7.5A--	194	132M
7,5kW 	41	35,67	1727	1,72	15604	R092236._M_-__7.5A--	194	132M
7,5kW 	33	43,35	2099	1,46	17512	R092245._M_-__7.5A--	194	132M
7,5kW 	30	49,07	2375	1,2	20500	R092250._M_-__7.5A--	194	132M
7,5kW 	26	55,18	2671	0,99	20500	R092256._M_-__7.5A--	194	132M
7,5kW 	25	59,07	2830	1,1	20500	R093256._M_-__7.5A--	209	132M
7,5kW 	22	64,64	3097	1	20500	R093263._M_-__7.5A--	209	132M
7,5kW 	20	73,13	3504	0,89	20500	R093271._M_-__7.5A--	209	132M
7,5kW 	57	25,49	1234	3,81	15176	R102228._M_-__7.5A--	223	132M
7,5kW 	47	30,76	1489	3,36	15653	R102232._M_-__7.5A--	223	132M
7,5kW 	41	35,44	1716	2,91	18898	R102236._M_-__7.5A--	223	132M
7,5kW 	35	41,12	1991	2,51	22243	R102245._M_-__7.5A--	223	132M
7,5kW 	30	47,93	2320	1,84	30000	R102250._M_-__7.5A--	223	132M
7,5kW 	28	51,49	2493	1,55	30000	R102256._M_-__7.5A--	223	132M
7,5kW 	25	57,63	2761	1,73	30000	R103256._M_-__7.5A--	246	132M
7,5kW 	22	65,24	3126	1,53	30000	R103263._M_-__7.5A--	246	132M
7,5kW 	20	72,62	3480	1,37	30000	R103271._M_-__7.5A--	246	132M
7,5kW 	18	80,68	3866	1,24	30000	R103280._M_-__7.5A--	246	132M
7,5kW 	15	98,68	4728	1,01	30000	R1032100_M_-__7.5A--	246	132M
7,5kW 	13	113,96	5460	0,88	30000	R1032112_M_-__7.5A--	246	132M
7,5kW 	34	43,25	2094	3,69	55000	R132245._M_-__7.5A--	304	132M
7,5kW 	29	50,7	2454	2,41	55000	R132250._M_-__7.5A--	304	132M
7,5kW 	27	53,94	2611	2,41	55000	R132256._M_-__7.5A--	304	132M
7,5kW 	24	59,76	2863	3,22	55000	R133256._M_-__7.5A--	343	132M
7,5kW 	22	66,4	3182	2,94	55000	R133263._M_-__7.5A--	343	132M
7,5kW 	20	72,6	3479	2,72	55000	R133271._M_-__7.5A--	343	132M
7,5kW 	18	80,68	3866	2,48	55000	R133280._M_-__7.5A--	343	132M
7,5kW 	15	95,34	4568	2,12	55000	R1332100_M_-__7.5A--	343	132M
7,5kW 	13	115,08	5514	1,76	55000	R1332112_M_-__7.5A--	343	132M
7,5kW 	11	132,56	6352	1,53	55000	R1332125_M_-__7.5A--	343	132M
7,5kW 	9,4	153,81	7370	1,32	55000	R1332160_M_-__7.5A--	343	132M
7,5kW 	8,1	179,28	8590	1,13	55000	R1332180_M_-__7.5A--	343	132M
7,5kW 	7,5	192,61	9229	1,05	55000	R1332200_M_-__7.5A--	343	132M
7,5kW 	6,4	224,86	10552	0,92	55000	R1342225_M_-__7.5A--	382	132M
7,5kW 	19	74,85	3586	3,62	68000	R143271._M_-__7.5A--	437	132M
7,5kW 	17	83,17	3985	3,26	68000	R143280._M_-__7.5A--	437	132M
7,5kW 	15	98,3	4710	2,76	68000	R1432100_M_-__7.5A--	437	132M
7,5kW 	12	118,61	5683	2,29	68000	R1432112_M_-__7.5A--	437	132M
7,5kW 	11	136,66	6548	1,99	68000	R1432125_M_-__7.5A--	437	132M
7,5kW 	9,1	158,58	7598	1,71	68000	R1432160_M_-__7.5A--	437	132M
7,5kW 	7,8	184,83	8856	1,47	68000	R1432180_M_-__7.5A--	437	132M
7,5kW 	7,3	198,58	9515	1,37	68000	R1432200_M_-__7.5A--	437	132M
7,5kW 	6,3	228,38	10717	1,21	68000	R1442225_M_-__7.5A--	478	132M
7,5kW 	5,9	244,15	11457	1,13	68000	R1442250_M_-__7.5A--	478	132M
7,5kW 	5,2	276,86	12992	1	68000	R1442280_M_-__7.5A--	478	132M
7,5kW 	4,3	337,68	15846	0,82	68000	R1442300_M_-__7.5A--	478	132M
7,5kW 	12	118,21	5664	3,65	98000	R1632112_M_-__7.5A--	680	132M
7,5kW 	11	128,08	6137	3,37	98000	R1632125_M_-__7.5A--	680	132M
7,5kW 	10	149,79	7177	2,88	98000	R1632160_M_-__7.5A--	680	132M
7,5kW 	8,3	175,64	8416	2,27	98000	R1632180_M_-__7.5A--	680	132M
